episode,speakers,emotions,utterances,triggers
utterance_966,"['Joey', 'Phoebe', 'Joey', 'Phoebe', 'Phoebe', 'Phoebe', 'Rachel', 'Phoebe', 'Chandler', 'Phoebe']","['neutral', 'anger', 'surprise', 'sadness', 'sadness', 'sadness', 'sadness', 'sadness', 'neutral', 'neutral']","[""What's the matter, Pheebs?"", 'She cancelled! My namesake cancelled on me!', 'What?!', 'Yeah, she clamed she had to go out of town suddenly.', ""She's avoiding me, she doesn't want to tell me where my Father is."", ""She knows, and she won't tell me."", 'Aww Pheebs, that sucks!', ""Yeah, well, don't \x93Aww Pheebs, that sucks!\x94 me yet."", 'Where ya going?', ""Well, she's out of town so, there's gotta be something in her house that tells me where my Father is.""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
utterance_967,"['Joey', 'Phoebe', 'Joey', 'Phoebe', 'Phoebe', 'Phoebe', 'Rachel', 'Phoebe', 'Chandler', 'Phoebe', 'Ross', 'Phoebe']","['neutral', 'anger', 'surprise', 'sadness', 'sadness', 'sadness', 'sadness', 'sadness', 'neutral', 'neutral', 'fear', 'anger']","[""What's the matter, Pheebs?"", 'She cancelled! My namesake cancelled on me!', 'What?!', 'Yeah, she clamed she had to go out of town suddenly.', ""She's avoiding me, she doesn't want to tell me where my Father is."", ""She knows, and she won't tell me."", 'Aww Pheebs, that sucks!', ""Yeah, well, don't \x93Aww Pheebs, that sucks!\x94 me yet."", 'Where ya going?', ""Well, she's out of town so, there's gotta be something in her house that tells me where my Father is."", 'Uh, Pheebs, some people call that breaking and entering.', 'Well, are any of those people here?!']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_968,"['Phoebe', 'Phoebe Sr.', 'Phoebe']","['surprise', 'surprise', 'neutral']","['Oh my God, so do I!', 'I knew it, wow!!', 'Wait-wait-wait, wait! Puppies. Cute or ugly?']","[0.0, 0.0, 0.0]"
utterance_969,"['Phoebe', 'Phoebe Sr.', 'Phoebe', 'Phoebe Sr.']","['surprise', 'surprise', 'neutral', 'joy']","['Oh my God, so do I!', 'I knew it, wow!!', 'Wait-wait-wait, wait! Puppies. Cute or ugly?', 'Ohh, so cute.']","[0.0, 0.0, 1.0, 0.0]"
utterance_970,"['Phoebe', 'Phoebe Sr.', 'Phoebe', 'Phoebe Sr.', 'Phoebe']","['surprise', 'surprise', 'neutral', 'joy', 'anger']","['Oh my God, so do I!', 'I knew it, wow!!', 'Wait-wait-wait, wait! Puppies. Cute or ugly?', 'Ohh, so cute.', ""Uh-huh, well! But umm, still I'm-I'm mad at you.""]","[0.0, 0.0, 0.0, 0.0, 1.0]"
utterance_971,"['Phoebe', 'Phoebe Sr.', 'Phoebe', 'Phoebe Sr.', 'Phoebe', 'Phoebe Sr.']","['surprise', 'surprise', 'neutral', 'joy', 'anger', 'anger']","['Oh my God, so do I!', 'I knew it, wow!!', 'Wait-wait-wait, wait! Puppies. Cute or ugly?', 'Ohh, so cute.', ""Uh-huh, well! But umm, still I'm-I'm mad at you."", ""I know. I'm mad at me too.""]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_972,"['Phoebe', 'Phoebe Sr.', 'Phoebe', 'Phoebe Sr.', 'Phoebe', 'Phoebe Sr.', 'Phoebe']","['surprise', 'surprise', 'neutral', 'joy', 'anger', 'anger', 'neutral']","['Oh my God, so do I!', 'I knew it, wow!!', 'Wait-wait-wait, wait! Puppies. Cute or ugly?', 'Ohh, so cute.', ""Uh-huh, well! But umm, still I'm-I'm mad at you."", ""I know. I'm mad at me too."", ""Well umm, do you wanna get something to eat? I'm kinda hungry.""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
utterance_973,"['Phoebe', 'Phoebe Sr.', 'Phoebe', 'Phoebe Sr.', 'Phoebe', 'Phoebe Sr.', 'Phoebe', 'Phoebe Sr.']","['surprise', 'surprise', 'neutral', 'joy', 'anger', 'anger', 'neutral', 'surprise']","['Oh my God, so do I!', 'I knew it, wow!!', 'Wait-wait-wait, wait! Puppies. Cute or ugly?', 'Ohh, so cute.', ""Uh-huh, well! But umm, still I'm-I'm mad at you."", ""I know. I'm mad at me too."", ""Well umm, do you wanna get something to eat? I'm kinda hungry."", 'Hey! Me too!']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_974,"['Phoebe', 'Phoebe Sr.', 'Phoebe', 'Phoebe Sr.', 'Phoebe', 'Phoebe Sr.', 'Phoebe', 'Phoebe Sr.', 'Phoebe']","['surprise', 'surprise', 'neutral', 'joy', 'anger', 'anger', 'neutral', 'surprise', 'sadness']","['Oh my God, so do I!', 'I knew it, wow!!', 'Wait-wait-wait, wait! Puppies. Cute or ugly?', 'Ohh, so cute.', ""Uh-huh, well! But umm, still I'm-I'm mad at you."", ""I know. I'm mad at me too."", ""Well umm, do you wanna get something to eat? I'm kinda hungry."", 'Hey! Me too!', ""All right, stop it. Now you're just doing it to freak me out.""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
utterance_975,"['Phoebe', 'Monica', 'Phoebe']","['surprise', 'surprise', 'neutral']","['Oh my God! That guy at the counter is totally checking you out!', ""Really?  My God, he's really cute."", 'Go for it.']","[1.0, 1.0, 0.0]"
utterance_976,"['Phoebe', 'Monica', 'Phoebe', 'Monica', 'Phoebe', 'Phoebe', 'Monica']","['surprise', 'surprise', 'neutral', 'surprise', 'neutral', 'neutral', 'joy']","['Oh my God! That guy at the counter is totally checking you out!', ""Really?  My God, he's really cute."", 'Go for it.', ""Phoebe, I'm engaged!"", ""I'm just saying, get his number just in case."", ""But no: Chandler is in an accident and can't perform sexually and he would want you to take a lover to satisfy the needs that he can no longer fulfill."", ""Op, can I just tell you something? Very flattered but umm, I'm engaged.""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
utterance_977,"['Phoebe', 'Monica', 'Phoebe', 'Monica', 'Phoebe', 'Phoebe', 'Monica', 'Monica']","['surprise', 'surprise', 'neutral', 'surprise', 'neutral', 'neutral', 'joy', 'disgust']","['Oh my God! That guy at the counter is totally checking you out!', ""Really?  My God, he's really cute."", 'Go for it.', ""Phoebe, I'm engaged!"", ""I'm just saying, get his number just in case."", ""But no: Chandler is in an accident and can't perform sexually and he would want you to take a lover to satisfy the needs that he can no longer fulfill."", ""Op, can I just tell you something? Very flattered but umm, I'm engaged."", 'Well you should be embarrassed.']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
utterance_978,"['Phoebe', 'Monica', 'Phoebe', 'Monica', 'Phoebe', 'Phoebe', 'Monica', 'Monica', 'Phoebe']","['surprise', 'surprise', 'neutral', 'surprise', 'neutral', 'neutral', 'joy', 'disgust', 'joy']","['Oh my God! That guy at the counter is totally checking you out!', ""Really?  My God, he's really cute."", 'Go for it.', ""Phoebe, I'm engaged!"", ""I'm just saying, get his number just in case."", ""But no: Chandler is in an accident and can't perform sexually and he would want you to take a lover to satisfy the needs that he can no longer fulfill."", ""Op, can I just tell you something? Very flattered but umm, I'm engaged."", 'Well you should be embarrassed.', 'I did, but that was really fun.']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_979,"['Chandler', 'Ross', 'Chandler']","['neutral', 'neutral', 'surprise']","['Hey.', 'Chandler. I sensed it was you.', 'What?!']","[0.0, 1.0, 0.0]"
utterance_980,"['Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler']","['neutral', 'neutral', 'surprise', 'neutral', 'joy']","['Hey.', 'Chandler. I sensed it was you.', 'What?!', ""Unagi. I'm always aware."", 'Okay, are you aware unagi  is an eel?']","[0.0, 0.0, 0.0, 1.0, 1.0]"
utterance_981,"['Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler']","['neutral', 'neutral', 'surprise', 'neutral', 'joy', 'neutral', 'neutral']","['Hey.', 'Chandler. I sensed it was you.', 'What?!', ""Unagi. I'm always aware."", 'Okay, are you aware unagi  is an eel?', ""What's up?"", ""I can't figure out what to make Monica.""]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
utterance_982,"['Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler', 'Ross']","['neutral', 'neutral', 'surprise', 'neutral', 'joy', 'neutral', 'neutral', 'anger']","['Hey.', 'Chandler. I sensed it was you.', 'What?!', ""Unagi. I'm always aware."", 'Okay, are you aware unagi  is an eel?', ""What's up?"", ""I can't figure out what to make Monica."", ""Oh, why don't you make her one of your little jokes.""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_983,"['Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler']","['neutral', 'neutral', 'surprise', 'neutral', 'joy', 'neutral', 'neutral', 'anger', 'fear']","['Hey.', 'Chandler. I sensed it was you.', 'What?!', ""Unagi. I'm always aware."", 'Okay, are you aware unagi  is an eel?', ""What's up?"", ""I can't figure out what to make Monica."", ""Oh, why don't you make her one of your little jokes."", ""I'm going crazy! Okay? Do you have any thing around here that looks homemade?""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_984,"['Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler', 'Ross']","['neutral', 'neutral', 'surprise', 'neutral', 'joy', 'neutral', 'neutral', 'anger', 'fear', 'neutral']","['Hey.', 'Chandler. I sensed it was you.', 'What?!', ""Unagi. I'm always aware."", 'Okay, are you aware unagi  is an eel?', ""What's up?"", ""I can't figure out what to make Monica."", ""Oh, why don't you make her one of your little jokes."", ""I'm going crazy! Okay? Do you have any thing around here that looks homemade?"", ""Y'know what?""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
utterance_985,"['Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler', 'Ross', 'Ross', 'Ross', 'Ross', 'Chandler']","['neutral', 'neutral', 'surprise', 'neutral', 'joy', 'neutral', 'neutral', 'anger', 'fear', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Hey.', 'Chandler. I sensed it was you.', 'What?!', ""Unagi. I'm always aware."", 'Okay, are you aware unagi  is an eel?', ""What's up?"", ""I can't figure out what to make Monica."", ""Oh, why don't you make her one of your little jokes."", ""I'm going crazy! Okay? Do you have any thing around here that looks homemade?"", ""Y'know what?"", ""She'd-she'd love this."", ""Uh, it's an exact replica of Apollo 8."", 'I made it in the sixth grade.', 'Yeah, I guess I could use that. I could say that your love sends me to the moon.']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
utterance_986,"['Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler', 'Ross', 'Ross', 'Ross', 'Ross', 'Chandler', 'Ross', 'Ross']","['neutral', 'neutral', 'surprise', 'neutral', 'joy', 'neutral', 'neutral', 'anger', 'fear', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'joy']","['Hey.', 'Chandler. I sensed it was you.', 'What?!', ""Unagi. I'm always aware."", 'Okay, are you aware unagi  is an eel?', ""What's up?"", ""I can't figure out what to make Monica."", ""Oh, why don't you make her one of your little jokes."", ""I'm going crazy! Okay? Do you have any thing around here that looks homemade?"", ""Y'know what?"", ""She'd-she'd love this."", ""Uh, it's an exact replica of Apollo 8."", 'I made it in the sixth grade.', 'Yeah, I guess I could use that. I could say that your love sends me to the moon.', ""Yeah-yeah, except Apollo 8 didn't actually land on the moon."", 'But you-you-you could write that umm, your love lets me orbit the moon twice and return safely.']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]"
utterance_987,"['Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler', 'Ross', 'Chandler', 'Ross', 'Ross', 'Ross', 'Ross', 'Chandler', 'Ross', 'Ross', 'Chandler', 'Ross']","['neutral', 'neutral', 'surprise', 'neutral', 'joy', 'neutral', 'neutral', 'anger', 'fear', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral']","['Hey.', 'Chandler. I sensed it was you.', 'What?!', ""Unagi. I'm always aware."", 'Okay, are you aware unagi  is an eel?', ""What's up?"", ""I can't figure out what to make Monica."", ""Oh, why don't you make her one of your little jokes."", ""I'm going crazy! Okay? Do you have any thing around here that looks homemade?"", ""Y'know what?"", ""She'd-she'd love this."", ""Uh, it's an exact replica of Apollo 8."", 'I made it in the sixth grade.', 'Yeah, I guess I could use that. I could say that your love sends me to the moon.', ""Yeah-yeah, except Apollo 8 didn't actually land on the moon."", 'But you-you-you could write that umm, your love lets me orbit the moon twice and return safely.', ""Wait a minute, I can't give this to her."", 'Why not?']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_988,"['Janice', 'Monica', 'Janice', 'Monica', 'Janice']","['anger', 'neutral', 'anger', 'neutral', 'sadness']","['Oh. Oh I just cannot believe Clark stood me up!', 'He might still show up.', ""Oh, what are you, stupid? It's been three hours."", 'Is that all?', ""I should just go on to happier things, okay? Umm, why don't you tell about your lovely wedding?""]","[0.0, 0.0, 0.0, 0.0, 0.0]"
utterance_989,"['Chandler', 'Chandler']","['surprise', 'neutral']","['Uh, tiny!', ""We're not even sure why we're having it.""]","[1.0, 0.0]"
utterance_990,"['Ross', 'Rachel', 'Ross']","['neutral', 'joy', 'joy']","['Come here to me. No-no, you come here to me.', 'Hey Ross! I brought reinforcements.', 'Oh great! What, you brought Joey?']","[0.0, 1.0, 0.0]"
utterance_991,"['Ross', 'Rachel', 'Ross', 'Rachel']","['neutral', 'joy', 'joy', 'neutral']","['Come here to me. No-no, you come here to me.', 'Hey Ross! I brought reinforcements.', 'Oh great! What, you brought Joey?', 'Well, I brought the next best thing.']","[0.0, 0.0, 1.0, 0.0]"
utterance_992,"['Rachel', 'Katie', 'Rachel']","['surprise', 'joy', 'joy']","[""Whoa!  Y'know what Katie? I gotta tell ya I-I-I-I think you are the one who is too much."", 'Ohh, Joey has the nicest friends!', 'Ohh, and the nicest girlfriend!']","[0.0, 1.0, 0.0]"
utterance_993,"['Rachel', 'Katie', 'Rachel', 'Katie', 'Rachel', 'Katie']","['surprise', 'joy', 'joy', 'joy', 'joy', 'surprise']","[""Whoa!  Y'know what Katie? I gotta tell ya I-I-I-I think you are the one who is too much."", 'Ohh, Joey has the nicest friends!', 'Ohh, and the nicest girlfriend!', ""You're so sweet!"", ""Ohh, you're so sweet!"", 'Oww!!!! Joey, she just kicked me.']","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
utterance_994,"['Rachel', 'Katie', 'Rachel', 'Katie', 'Rachel', 'Katie', 'Joey', 'Katie']","['surprise', 'joy', 'joy', 'joy', 'joy', 'surprise', 'neutral', 'neutral']","[""Whoa!  Y'know what Katie? I gotta tell ya I-I-I-I think you are the one who is too much."", 'Ohh, Joey has the nicest friends!', 'Ohh, and the nicest girlfriend!', ""You're so sweet!"", ""Ohh, you're so sweet!"", 'Oww!!!! Joey, she just kicked me.', 'Huh.', ""Well? Aren't you gonna do something?""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_995,"['Rachel', 'Katie', 'Rachel', 'Katie', 'Rachel', 'Katie', 'Joey', 'Katie', 'Joey', 'Katie']","['surprise', 'joy', 'joy', 'joy', 'joy', 'surprise', 'neutral', 'neutral', 'neutral', 'anger']","[""Whoa!  Y'know what Katie? I gotta tell ya I-I-I-I think you are the one who is too much."", 'Ohh, Joey has the nicest friends!', 'Ohh, and the nicest girlfriend!', ""You're so sweet!"", ""Ohh, you're so sweet!"", 'Oww!!!! Joey, she just kicked me.', 'Huh.', ""Well? Aren't you gonna do something?"", 'Uhh .', ""You'd better do something, or I'm gonna walk out that door right now! Well? Are you gonna?""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
utterance_996,"['Phoebe', 'Joey', 'Phoebe']","['fear', 'surprise', 'anger']","['How could you pick up a hitchhiker?! He could be a rape\x97, a rapist or a killer or something!', ""Don't you think I asked him that before he got in?!"", ""Y'know what? I'm not talking to you! You go back to sleep!  And you, are you a rapist?!""]","[0.0, 1.0, 0.0]"
utterance_997,"['Phoebe', 'Joey', 'Phoebe', 'Hitchhiker', 'Phoebe']","['fear', 'surprise', 'anger', 'anger', 'neutral']","['How could you pick up a hitchhiker?! He could be a rape\x97, a rapist or a killer or something!', ""Don't you think I asked him that before he got in?!"", ""Y'know what? I'm not talking to you! You go back to sleep!  And you, are you a rapist?!"", 'No!', 'Do you like car games?']","[0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_998,"['Phoebe', 'Joey', 'Phoebe', 'Hitchhiker', 'Phoebe', 'Hitchhiker']","['fear', 'surprise', 'anger', 'anger', 'neutral', 'neutral']","['How could you pick up a hitchhiker?! He could be a rape\x97, a rapist or a killer or something!', ""Don't you think I asked him that before he got in?!"", ""Y'know what? I'm not talking to you! You go back to sleep!  And you, are you a rapist?!"", 'No!', 'Do you like car games?', ""Yeah, y'know the license plate game?""]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_999,"['Phoebe', 'Joey', 'Phoebe', 'Hitchhiker', 'Phoebe', 'Hitchhiker', 'Phoebe', 'Joey']","['fear', 'surprise', 'anger', 'anger', 'neutral', 'neutral', 'neutral', 'joy']","['How could you pick up a hitchhiker?! He could be a rape\x97, a rapist or a killer or something!', ""Don't you think I asked him that before he got in?!"", ""Y'know what? I'm not talking to you! You go back to sleep!  And you, are you a rapist?!"", 'No!', 'Do you like car games?', ""Yeah, y'know the license plate game?"", 'I', ""Ooh, I'll play! I'll play!""]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
utterance_1000,"['Phoebe', 'Joey', 'Phoebe', 'Hitchhiker', 'Phoebe', 'Hitchhiker', 'Phoebe', 'Joey', 'Phoebe']","['fear', 'surprise', 'anger', 'anger', 'neutral', 'neutral', 'neutral', 'joy', 'anger']","['How could you pick up a hitchhiker?! He could be a rape\x97, a rapist or a killer or something!', ""Don't you think I asked him that before he got in?!"", ""Y'know what? I'm not talking to you! You go back to sleep!  And you, are you a rapist?!"", 'No!', 'Do you like car games?', ""Yeah, y'know the license plate game?"", 'I', ""Ooh, I'll play! I'll play!"", 'No-No! You need your sleep. Night-night! Shh!']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_1001,"['Chandler', 'Chandler']","['neutral', 'anger']","['Pheebs, can you help me pick out an engagement ring for Monica?', ""I can't figure this out!""]","[0.0, 1.0]"
utterance_1002,"['Chandler', 'Chandler', 'Chandler']","['neutral', 'anger', 'sadness']","['Pheebs, can you help me pick out an engagement ring for Monica?', ""I can't figure this out!"", ""It's so hard!""]","[0.0, 0.0, 1.0]"
utterance_1003,"['Chandler', 'Chandler', 'Chandler', 'Chandler', 'Chandler', 'Phoebe', 'Chandler']","['neutral', 'anger', 'sadness', 'sadness', 'sadness', 'neutral', 'neutral']","['Pheebs, can you help me pick out an engagement ring for Monica?', ""I can't figure this out!"", ""It's so hard!"", 'Should I get her a  Tiffany cut or a Princess cut or a\x97ah-ah!', 'Paper cut!', 'Now, have you told anyone else?', ""No, I don't want to tell anybody else because I don't want Monica to find out.""]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_1004,"['Chandler', 'Chandler', 'Chandler', 'Chandler', 'Chandler', 'Phoebe', 'Chandler', 'Phoebe']","['neutral', 'anger', 'sadness', 'sadness', 'sadness', 'neutral', 'neutral', 'surprise']","['Pheebs, can you help me pick out an engagement ring for Monica?', ""I can't figure this out!"", ""It's so hard!"", 'Should I get her a  Tiffany cut or a Princess cut or a\x97ah-ah!', 'Paper cut!', 'Now, have you told anyone else?', ""No, I don't want to tell anybody else because I don't want Monica to find out."", 'You told me.']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_1005,"['Chandler', 'Chandler', 'Chandler', 'Chandler', 'Chandler', 'Phoebe', 'Chandler', 'Phoebe', 'Chandler']","['neutral', 'anger', 'sadness', 'sadness', 'sadness', 'neutral', 'neutral', 'surprise', 'anger']","['Pheebs, can you help me pick out an engagement ring for Monica?', ""I can't figure this out!"", ""It's so hard!"", 'Should I get her a  Tiffany cut or a Princess cut or a\x97ah-ah!', 'Paper cut!', 'Now, have you told anyone else?', ""No, I don't want to tell anybody else because I don't want Monica to find out."", 'You told me.', ""Well, it's because I trust you, you're one of my best friends, and you walked in on me when I was looking at ring brochures.""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_1006,"['Chandler', 'Chandler', 'Chandler', 'Chandler', 'Chandler', 'Phoebe', 'Chandler', 'Phoebe', 'Chandler', 'Phoebe', 'Chandler']","['neutral', 'anger', 'sadness', 'sadness', 'sadness', 'neutral', 'neutral', 'surprise', 'anger', 'surprise', 'neutral']","['Pheebs, can you help me pick out an engagement ring for Monica?', ""I can't figure this out!"", ""It's so hard!"", 'Should I get her a  Tiffany cut or a Princess cut or a\x97ah-ah!', 'Paper cut!', 'Now, have you told anyone else?', ""No, I don't want to tell anybody else because I don't want Monica to find out."", 'You told me.', ""Well, it's because I trust you, you're one of my best friends, and you walked in on me when I was looking at ring brochures."", ""Yeah well, once again not knocking pays off. I only wish you hadn't been on the toilet."", 'Me too.']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_1007,"['Chandler', 'Chandler', 'Chandler', 'Chandler', 'Chandler', 'Phoebe', 'Chandler', 'Phoebe', 'Chandler', 'Phoebe', 'Chandler', 'Joey', 'Chandler', 'Phoebe']","['neutral', 'anger', 'sadness', 'sadness', 'sadness', 'neutral', 'neutral', 'surprise', 'anger', 'surprise', 'neutral', 'neutral', 'neutral', 'joy']","['Pheebs, can you help me pick out an engagement ring for Monica?', ""I can't figure this out!"", ""It's so hard!"", 'Should I get her a  Tiffany cut or a Princess cut or a\x97ah-ah!', 'Paper cut!', 'Now, have you told anyone else?', ""No, I don't want to tell anybody else because I don't want Monica to find out."", 'You told me.', ""Well, it's because I trust you, you're one of my best friends, and you walked in on me when I was looking at ring brochures."", ""Yeah well, once again not knocking pays off. I only wish you hadn't been on the toilet."", 'Me too.', 'Hey.', 'Hey.', 'Hey! So Chandler, wanna go to the coffeehouse?']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
utterance_1008,"['Chandler', 'Chandler', 'Chandler', 'Chandler', 'Chandler', 'Phoebe', 'Chandler', 'Phoebe', 'Chandler', 'Phoebe', 'Chandler', 'Joey', 'Chandler', 'Phoebe', 'Chandler', 'Ross', 'Chandler', 'Ross']","['neutral', 'anger', 'sadness', 'sadness', 'sadness', 'neutral', 'neutral', 'surprise', 'anger', 'surprise', 'neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral', 'neutral', 'disgust']","['Pheebs, can you help me pick out an engagement ring for Monica?', ""I can't figure this out!"", ""It's so hard!"", 'Should I get her a  Tiffany cut or a Princess cut or a\x97ah-ah!', 'Paper cut!', 'Now, have you told anyone else?', ""No, I don't want to tell anybody else because I don't want Monica to find out."", 'You told me.', ""Well, it's because I trust you, you're one of my best friends, and you walked in on me when I was looking at ring brochures."", ""Yeah well, once again not knocking pays off. I only wish you hadn't been on the toilet."", 'Me too.', 'Hey.', 'Hey.', 'Hey! So Chandler, wanna go to the coffeehouse?', 'Oh all right.', 'Oh perfect, we were just gonna see if you wanted to go.', ""Oh well, we don't because we got the other pl-place."", 'How rude.']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_1009,"['Chandler', 'Chandler', 'Chandler', 'Chandler', 'Chandler', 'Phoebe', 'Chandler', 'Phoebe', 'Chandler', 'Phoebe', 'Chandler', 'Joey', 'Chandler', 'Phoebe', 'Chandler', 'Ross', 'Chandler', 'Ross', 'Joey']","['neutral', 'anger', 'sadness', 'sadness', 'sadness', 'neutral', 'neutral', 'surprise', 'anger', 'surprise', 'neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral', 'neutral', 'disgust', 'surprise']","['Pheebs, can you help me pick out an engagement ring for Monica?', ""I can't figure this out!"", ""It's so hard!"", 'Should I get her a  Tiffany cut or a Princess cut or a\x97ah-ah!', 'Paper cut!', 'Now, have you told anyone else?', ""No, I don't want to tell anybody else because I don't want Monica to find out."", 'You told me.', ""Well, it's because I trust you, you're one of my best friends, and you walked in on me when I was looking at ring brochures."", ""Yeah well, once again not knocking pays off. I only wish you hadn't been on the toilet."", 'Me too.', 'Hey.', 'Hey.', 'Hey! So Chandler, wanna go to the coffeehouse?', 'Oh all right.', 'Oh perfect, we were just gonna see if you wanted to go.', ""Oh well, we don't because we got the other pl-place."", 'How rude.', ""Oh, I'm sorry. You wanna bite?""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_1010,"['Joey', 'Chandler', 'Joey', 'Chandler']","['surprise', 'surprise', 'surprise', 'disgust']","['The stripper stole the ring!! The stripper stole the ring!! Chandler! Chandler, get up! Get up! The stripper stole the ring!', 'What?', 'The ring is gone!', 'Ugh.']","[1.0, 0.0, 1.0, 0.0]"
utterance_1011,"['Joey', 'Chandler', 'Joey', 'Chandler', 'Chandler']","['surprise', 'surprise', 'surprise', 'disgust', 'neutral']","['The stripper stole the ring!! The stripper stole the ring!! Chandler! Chandler, get up! Get up! The stripper stole the ring!', 'What?', 'The ring is gone!', 'Ugh.', 'Just a sec, give me a minute to wake up for this\x97Ah-ha-ha!!']","[0.0, 0.0, 0.0, 0.0, 0.0]"
utterance_1012,"['Joey', 'Chandler', 'Joey', 'Chandler', 'Chandler', 'Chandler']","['surprise', 'surprise', 'surprise', 'disgust', 'neutral', 'joy']","['The stripper stole the ring!! The stripper stole the ring!! Chandler! Chandler, get up! Get up! The stripper stole the ring!', 'What?', 'The ring is gone!', 'Ugh.', 'Just a sec, give me a minute to wake up for this\x97Ah-ha-ha!!', 'You lost the ring!']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
utterance_1013,"['Joey', 'Chandler', 'Joey', 'Chandler', 'Chandler', 'Chandler', 'Chandler']","['surprise', 'surprise', 'surprise', 'disgust', 'neutral', 'joy', 'anger']","['The stripper stole the ring!! The stripper stole the ring!! Chandler! Chandler, get up! Get up! The stripper stole the ring!', 'What?', 'The ring is gone!', 'Ugh.', 'Just a sec, give me a minute to wake up for this\x97Ah-ha-ha!!', 'You lost the ring!', ""You're the worst best man ever!""]","[1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]"
